!,"ID for suite of sites or experiments","Name of experiment, field test or survey",Field Overlay (DOME) ID,Seaonal Strategy (DOME) ID,Rotational Analysis (DOME) ID,BATCH (DOME) ID,,,Treatment Name,4-character Climate ID code,Climate replication number for multiple realizations of weather data (ask Alex),Region ID,Regional stratum identification number,RAP ID,"Management regimen ID, for multiple management regimens per RAP",Names of institutions involved in collection of field or survey data,"Crop rotation indicator (=1 to indicate that this is a continuous, multi-year simulation, =0 for single year simulations)",Weather station ID,Soil ID,Site Latitude,Site Longitude,Crop type (common name) ,Crop model-specific cultivar ID,Cultivar name,Start of simulation date,Planting date,"Observed harvested yield, dry weight",Observed total above-ground biomass at harvest,Observed harvest date,Total number of irrigation events,Total amount of irrigation,Type of irrigation application,Total number of fertilizer applications,Total N applied,Total P applied,Total K applied,Manure and applied oganic matter,Total number of tillage applications,"Tillage type (hand, animal or mechanized)",Experiment ID,Weather ID,Soil ID,DOME ID for Overlay,DOME ID for Seasonal  ,DOME ID for Rotational ,DOME ID for Batch DOME,"Short name of crop model used for simulations (e.g., DSSAT, APSIM, Aquacrop, STICS, etc.)",Model name and version number of the crop model used to generate simulated outputs,"Simulated harvest yield, dry matter","Simulated above-ground biomass at harvest, dry matter",Simulated anthesis date,Simulated maturity date,Simulated harvest date,"Simulated leaf area index, maximum",Total precipitation from planting to harvest,"Simulated evapotranspiration, planting to harvest",Simulated N uptake during season,Simulated N leached up to harvest maturity,"Transpiration, cumulative from planting to harvest","Evaporation,soil, cumulative from planting to harvest"
!,text,text,text,text,text,text,number,number,text,code,number,code,number,code,code,text,number,text,text,decimal degrees,decimal degrees,text,text,text,yyyy-mm-dd,yyyy-mm-dd,kg/ha,kg/ha,yyyy-mm-dd,number,mm,text,number,kg[N]/ha,kg[P]/ha,kg[K]/ha,kg/ha,#,text,text,text,text,text,text,text,text,text,text,kg/ha,kg/ha,yyyy-mm-dd,yyyy-mm-dd,yyyy-mm-dd,m2/m2,mm,mm,kg/ha,kg/ha,mm,mm
#,SUITE_ID,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,ROTATIONAL_ANALYSIS,BATCH_DOME,BATCH_RUN#,RUN#,TRT_NAME,CLIM_ID,CLIM_REP,REG_ID,STRATUM,RAP_ID,MAN_ID,INSTITUTION,ROTATION,WST_ID,SOIL_ID,FL_LAT,FL_LONG,CRID_text,CUL_ID,CUL_NAME,SDAT,PDATE,HWAH,CWAH,HDATE,IR#C,IR_TOT,IROP_text,FE_#,FEN_TOT,FEP_TOT,FEK_TOT,OM_TOT,TI_#,TIIMP_text,EID,WID,SID,DOID,DSID,DRID,BDID,CROP_MODEL,MODEL_VER,HWAH_S,CWAH_S,ADAT_S,MDAT_S,HADAT_S,LAIX_S,PRCP_S,ETCP_S,NUCM_S,NLCM_S,EPCP_S,ESCP_S
*,,"NIORO020_1_b1__1","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",1,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1980-06-11,1980-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","385c59737ad066fb338e43c1597ecb38da6d456cc296196639eacd6b35a5dcca","bf07f6a68d763e9a958a1d247ee7399d7c381304421fe63fb52bee0ee2bcf4ce","","3dbfa8f39f5e6841c5cb95d0e8307a4a1fe7dedbe36da286c1d780b2d205e467",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.043 -develop","628","1854","1980-08-23","1980-09-20","1980-09-20","0.5","351.3","253.0","20","2","59.0","194.7"
*,,"NIORO020_1_b1__2","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",2,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1981-06-11,1981-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","385c59737ad066fb338e43c1597ecb38da6d456cc296196639eacd6b35a5dcca","bf07f6a68d763e9a958a1d247ee7399d7c381304421fe63fb52bee0ee2bcf4ce","","3dbfa8f39f5e6841c5cb95d0e8307a4a1fe7dedbe36da286c1d780b2d205e467",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.043 -develop","777","2194","1981-08-23","1981-09-22","1981-09-22","0.5","460.4","320.3","24","10","70.3","250.8"
*,,"NIORO020_1_b1__3","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",3,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1982-06-11,1982-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","385c59737ad066fb338e43c1597ecb38da6d456cc296196639eacd6b35a5dcca","bf07f6a68d763e9a958a1d247ee7399d7c381304421fe63fb52bee0ee2bcf4ce","","3dbfa8f39f5e6841c5cb95d0e8307a4a1fe7dedbe36da286c1d780b2d205e467",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.043 -develop","662","1985","1982-08-23","1982-09-22","1982-09-22","0.6","365.1","289.6","23","1","67.2","223.0"
*,,"NIORO020_1_b1__4","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",4,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1983-06-11,1983-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","385c59737ad066fb338e43c1597ecb38da6d456cc296196639eacd6b35a5dcca","bf07f6a68d763e9a958a1d247ee7399d7c381304421fe63fb52bee0ee2bcf4ce","","3dbfa8f39f5e6841c5cb95d0e8307a4a1fe7dedbe36da286c1d780b2d205e467",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.043 -develop","318","1204","1983-08-22","1983-09-19","1983-09-19","0.4","182.6","167.2","17","0","43.3","124.5"
*,,"NIORO020_1_b1__5","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",5,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1984-06-11,1984-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","385c59737ad066fb338e43c1597ecb38da6d456cc296196639eacd6b35a5dcca","bf07f6a68d763e9a958a1d247ee7399d7c381304421fe63fb52bee0ee2bcf4ce","","3dbfa8f39f5e6841c5cb95d0e8307a4a1fe7dedbe36da286c1d780b2d205e467",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.043 -develop","277","1160","1984-08-22","1984-09-19","1984-09-19","0.4","171.5","156.8","17","0","37.2","119.9"
*,,"NIORO020_1_b1__6","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",6,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1985-06-11,1985-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","385c59737ad066fb338e43c1597ecb38da6d456cc296196639eacd6b35a5dcca","bf07f6a68d763e9a958a1d247ee7399d7c381304421fe63fb52bee0ee2bcf4ce","","3dbfa8f39f5e6841c5cb95d0e8307a4a1fe7dedbe36da286c1d780b2d205e467",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.043 -develop","799","2024","1985-08-23","1985-09-21","1985-09-21","0.5","294.2","260.0","23","0","61.6","199.0"
*,,"NIORO020_1_b1__7","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",7,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1986-06-11,1986-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","385c59737ad066fb338e43c1597ecb38da6d456cc296196639eacd6b35a5dcca","bf07f6a68d763e9a958a1d247ee7399d7c381304421fe63fb52bee0ee2bcf4ce","","3dbfa8f39f5e6841c5cb95d0e8307a4a1fe7dedbe36da286c1d780b2d205e467",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.043 -develop","756","1986","1986-08-21","1986-09-20","1986-09-20","0.5","511.5","246.5","23","9","60.5","186.7"
*,,"NIORO020_1_b1__8","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",8,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1987-06-11,1987-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","385c59737ad066fb338e43c1597ecb38da6d456cc296196639eacd6b35a5dcca","bf07f6a68d763e9a958a1d247ee7399d7c381304421fe63fb52bee0ee2bcf4ce","","3dbfa8f39f5e6841c5cb95d0e8307a4a1fe7dedbe36da286c1d780b2d205e467",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.043 -develop","614","1870","1987-08-22","1987-09-20","1987-09-20","0.5","406.3","244.5","21","11","63.8","181.4"
*,,"NIORO020_1_b1__9","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",9,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1988-06-11,1988-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","385c59737ad066fb338e43c1597ecb38da6d456cc296196639eacd6b35a5dcca","bf07f6a68d763e9a958a1d247ee7399d7c381304421fe63fb52bee0ee2bcf4ce","","3dbfa8f39f5e6841c5cb95d0e8307a4a1fe7dedbe36da286c1d780b2d205e467",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.043 -develop","789","2125","1988-08-24","1988-09-23","1988-09-23","0.6","636.8","314.2","25","20","69.8","245.2"
*,,"NIORO020_1_b1__10","NIORO------SOIL2","NIORO-2-----0XFX","","GENERIC------CTWN","1",10,"","0XFX",1,"NIORO","2",,,AgMIP,0,MEDI,ITSN840042,13.5861,-15.5782,"Maize",IF0021,"TZEEY-SRBC5",1989-06-11,1989-07-11,,,,,,"",2,30,0,0,556,,"","5b408e7d55c648ac5aad8256cc2b1cf15e85125fc277bf13c06f02cbe3ea3660","b148fb2c1cf46d7809c548061ff68ef5b274786c48f82ace2232f1f8e6cd1f10","4eb704ecd535b72d143060b88494a84726db6c0b071480f6fa52e081724d3966","385c59737ad066fb338e43c1597ecb38da6d456cc296196639eacd6b35a5dcca","bf07f6a68d763e9a958a1d247ee7399d7c381304421fe63fb52bee0ee2bcf4ce","","3dbfa8f39f5e6841c5cb95d0e8307a4a1fe7dedbe36da286c1d780b2d205e467",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.043 -develop","726","1954","1989-08-23","1989-09-23","1989-09-23","0.5","423.7","287.1","23","7","65.5","222.2"
